;ORIGIN;DEST;Quarter;TotalPax;TotalFare;AverageFare;Year
1675;LAS;MIA;1;2657;843325.57;317.39765525;2013
1676;LAS;MSP;1;8066;1643521.12;203.7591272;2013
1677;LAS;ORD;1;7869;1782994.39;226.58462193;2013
1678;LAS;PHL;1;6032;1398159.15;231.79031001;2013
1679;LAS;PHX;1;8997;1104738.34;122.78963432;2013
1680;LAS;SEA;1;9695;1612861.18;166.36010108;2013
1681;LAS;SFO;1;12916;1881014.97;145.63448204;2013
1682;LAX;ATL;1;8178;2224298.73;271.98566031;2013
1683;LAX;BOS;1;9658;2707490.06;280.33651481;2013
1684;LAX;CLT;1;2410;803944.06;333.58674689;2013
1685;LAX;DEN;1;9853;1671445.8;169.63826246;2013
1686;LAX;DFW;1;9206;2188713.98;237.74864002;2013
1687;LAX;DTW;1;5023;1461458.44;290.95330281;2013
1688;LAX;EWR;1;5356;2384329.94;445.16989171;2013
1689;LAX;IAH;1;4483;1496855.26;333.89588668;2013
1690;LAX;JFK;1;27358;9580685.9;350.19686746;2013
1691;LAX;LAS;1;12542;1466292.71;116.91059719;2013
1692;LAX;LGA;1;2389;677321.64;283.51680201;2013
1693;LAX;MCO;1;6534;1694850.22;259.3893817;2013
1694;LAX;MIA;1;5916;1927197.25;325.76018425;2013
1695;LAX;MSP;1;4887;1339725.69;274.14071823;2013
1696;LAX;ORD;1;12977;3043948.35;234.56487247;2013
1697;LAX;PHL;1;6481;1803588.06;278.28854498;2013
1698;LAX;PHX;1;8919;1081260.42;121.23112681;2013
1699;LAX;SEA;1;10038;1730589.45;172.40381052;2013
1700;LAX;SFO;1;22186;2825439.0;127.35233931;2013
1701;LGA;ATL;1;15718;2837809.47;180.54520104;2013
1702;LGA;BOS;1;6611;1556052.17;235.37319165;2013
1703;LGA;CLT;1;7807;1066621.29;136.62370821;2013
1704;LGA;DEN;1;7874;1536108.65;195.08618872;2013
1705;LGA;DFW;1;8562;2732986.0;319.1994861;2013
1706;LGA;DTW;1;7009;1438757.84;205.27291197;2013
1707;LGA;IAH;1;4662;1685007.82;361.43453882;2013
1708;LGA;LAS;1;1445;378192.55;261.7249481;2013
1709;LGA;LAX;1;2608;734691.21;281.7067523;2013
1710;LGA;MCO;1;9940;1650132.27;166.0092827;2013
1711;LGA;MIA;1;13952;2774341.76;198.8490367;2013
1712;LGA;MSP;1;4492;1309027.02;291.41296082;2013
1713;LGA;ORD;1;21778;3782154.24;173.66857563;2013
1714;LGA;PHL;1;79;7243.57;91.69075949;2013
1715;LGA;PHX;1;1098;275860.43;251.23900729;2013
1716;LGA;SEA;1;616;158954.49;258.04300325;2013
1717;LGA;SFO;1;1302;419446.35;322.15541475;2013
1718;MCO;ATL;1;7629;1183173.19;155.08889632;2013
1719;MCO;BOS;1;11718;2061129.59;175.89431558;2013
1720;MCO;CLT;1;2539;578277.06;227.75780228;2013
1721;MCO;DEN;1;6523;1403520.04;215.1648076;2013
1722;MCO;DFW;1;6016;1279286.12;212.64729388;2013
1723;MCO;DTW;1;10569;1888622.4;178.69452171;2013
1724;MCO;EWR;1;11693;2207588.92;188.79576841;2013
1725;MCO;IAH;1;3166;757949.81;239.4029722;2013
1726;MCO;JFK;1;11621;1961284.36;168.77070476;2013
1727;MCO;LAS;1;3048;809477.47;265.57659777;2013
1728;MCO;LAX;1;6632;1738285.35;262.10575241;2013
1729;MCO;LGA;1;9501;1587306.81;167.06734133;2013
1730;MCO;MIA;1;1908;283344.26;148.50328092;2013
1731;MCO;MSP;1;9496;2034773.6;214.2769166;2013
1732;MCO;ORD;1;7898;1569249.06;198.68942264;2013
1733;MCO;PHL;1;12809;2130041.6;166.29257553;2013
1734;MCO;PHX;1;2979;819430.79;275.06908023;2013
1735;MCO;SEA;1;3120;832020.24;266.67315385;2013
1736;MCO;SFO;1;3833;1061999.62;277.06747195;2013
1737;MIA;ATL;1;4843;894691.34;184.73907495;2013
1738;MIA;BOS;1;4719;1098421.38;232.76570884;2013
1739;MIA;CLT;1;1367;344864.12;252.27806876;2013
1740;MIA;DEN;1;1788;456227.19;255.16062081;2013
1741;MIA;DFW;1;2583;714541.54;276.63241967;2013
1742;MIA;DTW;1;3056;651645.34;213.23473168;2013
1743;MIA;EWR;1;6292;1461954.17;232.35126669;2013
1744;MIA;IAH;1;2153;594500.25;276.12645146;2013
1745;MIA;JFK;1;6266;1262614.25;201.50243377;2013
1746;MIA;LAS;1;2484;775726.66;312.28931562;2013
1747;MIA;LAX;1;6050;2006232.91;331.60874545;2013
1748;MIA;LGA;1;14013;2840641.86;202.71475487;2013
1749;MIA;MCO;1;1837;275388.24;149.91194339;2013
1750;MIA;MSP;1;2884;772464.26;267.84475035;2013
1751;MIA;ORD;1;5666;1432122.51;252.75723791;2013
1752;MIA;PHL;1;3820;792644.75;207.49862565;2013
1753;MIA;PHX;1;1088;338721.84;311.32522059;2013
1754;MIA;SEA;1;962;351617.94;365.50721414;2013
1755;MIA;SFO;1;2752;891606.44;323.98489826;2013
1756;MSP;ATL;1;4153;1001570.6;241.16797496;2013
1757;MSP;BOS;1;3067;891581.41;290.70147049;2013
1758;MSP;CLT;1;1423;460265.6;323.44736472;2013
1759;MSP;DEN;1;7510;1046657.84;139.36855393;2013
1760;MSP;DFW;1;4006;887394.49;221.51634798;2013
1761;MSP;DTW;1;1819;599394.04;329.5184387;2013
1762;MSP;EWR;1;1775;720432.6;405.87752113;2013
1763;MSP;IAH;1;1634;615236.05;376.52145043;2013
1764;MSP;JFK;1;1180;245033.97;207.65590678;2013
1765;MSP;LAS;1;8193;1641131.87;200.30902844;2013
1766;MSP;LAX;1;4892;1342705.54;274.46965249;2013
1767;MSP;LGA;1;4453;1322931.02;297.0875859;2013
1768;MSP;MCO;1;9563;2043862.0;213.7260274;2013
1769;MSP;MIA;1;2890;776110.85;268.55046713;2013
1770;MSP;ORD;1;7982;1021632.44;127.99203708;2013
1771;MSP;PHL;1;1962;656613.79;334.66554027;2013
1772;MSP;PHX;1;9650;2045228.61;211.9407886;2013
1773;MSP;SEA;1;2827;629287.75;222.59913336;2013
1774;MSP;SFO;1;3956;1247560.5;315.35907482;2013
1775;ORD;ATL;1;7064;1307702.46;185.1220923;2013
1776;ORD;BOS;1;9330;1589274.48;170.34024437;2013
1777;ORD;CLT;1;3296;893927.86;271.21597694;2013
1778;ORD;DEN;1;6586;1197585.65;181.83808837;2013
1779;ORD;DFW;1;10783;2224750.62;206.32019104;2013
1780;ORD;DTW;1;4163;630330.74;151.41262071;2013
1781;ORD;EWR;1;6254;1768182.11;282.72819156;2013
1782;ORD;IAH;1;5664;1499426.6;264.7292726;2013
1783;ORD;JFK;1;2686;428849.45;159.66100149;2013
1784;ORD;LAS;1;7722;1701993.97;220.40843952;2013
1785;ORD;LAX;1;12784;2980886.65;233.17323608;2013
1786;ORD;LGA;1;21561;3720214.93;172.54370994;2013
1787;ORD;MCO;1;7807;1524512.24;195.27504035;2013
1788;ORD;MIA;1;5541;1361843.29;245.7757246;2013
1789;ORD;MSP;1;7972;1013792.75;127.1691859;2013
1790;ORD;PHL;1;6695;1437055.31;214.64605078;2013
1791;ORD;PHX;1;7399;1745861.56;235.95912421;2013
1792;ORD;SEA;1;4205;1048110.99;249.25350535;2013
1793;ORD;SFO;1;10371;2844967.28;274.31947546;2013
