;AverageFare;Ref
3977;172;16 11 2 201
3978;172;16 11 3 201
3979;172;16 11 4 201
3980;172;16 11 1 201
3981;172;16 11 2 201
3982;188;16 11 3 201
3983;188;16 11 4 201
3984;156;16 12 1 201
3985;156;16 12 2 201
3986;156;16 12 3 201
3987;156;16 12 4 201
3988;172;16 12 1 201
3989;172;16 12 2 201
3990;172;16 12 3 201
3991;172;16 12 4 201
3992;172;16 12 1 201
3993;172;16 12 2 201
3994;156;16 12 3 201
3995;156;16 12 4 201
3996;302;16 13 1 201
3997;302;16 13 2 201
3998;302;16 13 3 201
3999;302;16 13 4 201
4000;172;16 13 1 201
4001;172;16 13 2 201
4002;172;16 13 3 201
4003;172;16 13 4 201
4004;172;16 13 1 201
4005;172;16 13 2 201
4006;302;16 13 3 201
4007;302;16 13 4 201
4008;315;16 14 1 201
4009;315;16 14 2 201
4010;315;16 14 3 201
4011;315;16 14 4 201
4012;172;16 14 1 201
4013;172;16 14 2 201
4014;172;16 14 3 201
4015;172;16 14 4 201
4016;172;16 14 1 201
4017;172;16 14 2 201
4018;315;16 14 3 201
4019;315;16 14 4 201
4020;308;16 15 1 201
